"There are no customers for this alert.","No hay clientes para esta alerta."
Email,"Correo electrónico"
"Subscribe Date","Fecha de suscripción"
"Last Notified","Última notificación"
"Send Count","Cantidad de envíos"
Sent,Enviado
"Email Address","Dirección de correo electrónico"
SKU,"Unidad de mantenimiento de existencias (SKU)"
Name,Nombre
"Stock Status","Estado de existencias"
Action,Acción
"In Stock","En existencias"
"Out of Stock","Fuera de existencias"
Actions,Acciones
Delete,Borrar
Unsubscribe,Desuscribirse
Enabled,Habilitado
"Email Sender","Correo electrónico Remitente"
"Confirmation Email Template","Plantilla del correo electrónico de confirmación"
"Customer Email","Correo electrónico del cliente"
Product,Producto
"Add Date","Añadir fecha"
Status,Estado
